From	To
KAD2_HUMAN	AK2
KAD3_HUMAN	AK3
KAD4_HUMAN	AK4
KAD5_HUMAN	AK5
KAIN_HUMAN	SERPINA4
KAP0_HUMAN	PRKAR1A
KAP2_HUMAN	PRKAR2A
KAPCA_HUMAN	PRKACA
KAPCB_HUMAN	PRKACB
KATL1_HUMAN	KATNAL1
KBTBD_HUMAN	KBTBD13
KCAB1_HUMAN	KCNAB1
KCC2B_HUMAN	CAMK2B
KCC2D_HUMAN	CAMK2D
KCC2G_HUMAN	CAMK2G
KCD15_HUMAN	KCTD15
KCNE1_HUMAN	KCNE1
KCRB_HUMAN	CKB
KCRM_HUMAN	CKM
KCRS_HUMAN	CKMT2
KCRU_HUMAN	CKMT1A
KCRU_HUMAN	CKMT1B
KCTD2_HUMAN	KCTD2
KI16B_HUMAN	KIF16B
KI3S1_HUMAN	KIR3DS1
KINH_HUMAN	KIF5B
KLC3_HUMAN	KLC3
KLD8B_HUMAN	KLHDC8B
KLH18_HUMAN	KLHL18
KLH33_HUMAN	KLHL33
KLHL5_HUMAN	KLHL5
KLK14_HUMAN	KLK14
KNG1_HUMAN	KNG1
KPYM_HUMAN	PKM
KPYR_HUMAN	PKLR
KRT35_HUMAN	KRT35
KRT84_HUMAN	KRT84
KRT85_HUMAN	KRT85
KRT86_HUMAN	KRT86
KS6B2_HUMAN	RPS6KB2
KT33B_HUMAN	KRT33B
LANC1_HUMAN	LANCL1
LATH_HUMAN	BPIFA4P
LC7L2_HUMAN	LUC7L2
LCOR_HUMAN	LCOR
LDB3_HUMAN	LDB3
LDH6A_HUMAN	LDHAL6A
LDH6B_HUMAN	LDHAL6B
LDHA_HUMAN	LDHA
LDHB_HUMAN	LDHB
LDHC_HUMAN	LDHC
LEG1_HUMAN	LGALS1
LEG9_HUMAN	LGALS9
LEO1_HUMAN	LEO1
LEP_HUMAN	LEP
LG3BP_HUMAN	LGALS3BP
LGUL_HUMAN	GLO1
LHX3_HUMAN	LHX3
LHX4_HUMAN	LHX4
LIPB1_HUMAN	PPFIBP1
LIPH_HUMAN	LIPH
LIS1_HUMAN	PAFAH1B1
LKHA4_HUMAN	LTA4H
LMCD1_HUMAN	LMCD1
LMNA_HUMAN	LMNA
LMNB2_HUMAN	LMNB2
LRC14_HUMAN	LRRC14
LRC20_HUMAN	LRRC20
LRC29_HUMAN	LRRC29
LRC39_HUMAN	LRRC39
LRC42_HUMAN	LRRC42
LRC47_HUMAN	LRRC47
LRC61_HUMAN	LRRC61
LRRF1_HUMAN	LRRFIP1
LRRF2_HUMAN	LRRFIP2
LRRN1_HUMAN	LRRN1
LUM_HUMAN	LUM
LYPA1_HUMAN	LYPLA1
LYZL4_HUMAN	LYZL4
M2OM_HUMAN	SLC25A11
M4A6A_HUMAN	MS4A6A
MA7D3_HUMAN	MAP7D3
MACOI_HUMAN	MACO1
MAGBH_HUMAN	MAGEB17
MALD3_HUMAN	MARVELD3
MAOM_HUMAN	ME2
MAP4_HUMAN	MAP4
MAP9_HUMAN	MAP9
MARCS_HUMAN	MARCKS
MBD6_HUMAN	MBD6
MCCA_HUMAN	MCCC1
MCCB_HUMAN	MCCC2
MCMBP_HUMAN	MCMBP
MDHC_HUMAN	MDH1
MDHM_HUMAN	MDH2
MDM2_HUMAN	MDM2
MED30_HUMAN	MED30
MET2A_HUMAN	METTL2A
METL9_HUMAN	METTL9
MFTC_HUMAN	SLC25A32
MGST3_HUMAN	MGST3
MGT4A_HUMAN	MGAT4A
MIF_HUMAN	MIF
MIME_HUMAN	OGN
MIPO1_HUMAN	MIPOL1
MK67I_HUMAN	NIFK
ML12A_HUMAN	MYL12A
ML12B_HUMAN	MYL12B
MLRV_HUMAN	MYL2
MMAD_HUMAN	MMADHC
MOES_HUMAN	MSN
MORN3_HUMAN	MORN3
MP2K5_HUMAN	MAP2K5
MPC1_HUMAN	MPC1
MPCP_HUMAN	SLC25A3
MPI_HUMAN	MPI
