entrez_gene	rgd_gene	gene_symbol
100361960	2319120	Cox7b2
26200	620494	Mt-nd4l
304539	1310413	Sirt4
361805	1306917	Uqcc2
304579	1307949	Usp30
306231	1310975	Pde12
85269	619879	Nme3
367172	1308888	Dhx30
296741	1311601	Fastk
295985	1304978	Mettl15
25279	2462	Cyp24a1
310395	1587344	Noct
296167	1305169	Pank2
54233	2243	Ca5a
290558	1305524	Nt5dc2
366012	1359394	Trub2
25636	3389	Prkaca
305685	1306581	Comtd1
308579	1305384	Cpt1c
499630	1565059	RGD1565059
296623	1310887	Miga2
64635	631340	Snd1
313521	1310014	Hpdl
305035	1305056	Angel2
287150	1306126	Antkmt
690344	1597344	Uqcc3
85274	620043	Prdx4
252827	708387	Cdk5rap1
140946	620066	Paics
689931	1586369	Mgarp
688746	1585262	Hdhd3
353498	727886	Cyp11b3
170919	619916	Agpat4
360796	1307558	Rcc1l
499979	1562135	Fam185a
492821	1359266	Pmaip1
310652	1311196	Tdrkh
498185	1565818	Slc8b1
114700	69192	Cyp27b1
303612	1305128	Polg2
361993	1562059	Them5
114496	621547	Bik
85261	621318	Mterf1
100911069	6494892	Mtfr2
29328	69226	Gpx4
689996	1586305	Tomm20l
24267	2379	Comt
300258	1359237	Myg1
360604	735087	Spata20
366463	1306953	Oxct2b
308060	735106	Ccdc127
299691	735083	Cry1
497974	1559961	Myo19
296200	1307465	Mgme1
287606	1308781	Septin4
501181	1559565	Efhd1
296315	1307752	Rab5if
79116	2126	Apex1
366697	1305447	Sptlc2
298147	1309148	Dmac1
499561	1560629	Atpsckmt
316642	1308624	Neu4
58918	61867	Casp9
502749	1562046	Agk
60430	620525	Mcl1
291978	1305612	Dus2
287366	1311987	Pld6
311621	1309029	Tomm34
299050	1305089	Prorp
360549	1307016	Plscr3
29593	61976	Ckmt1
100912357	6487218	Ndufb1
304278	1311473	Ptcd1
64044	620945	Casp8
24888	2200	Bcl2l1
362759	1311087	Exd2
296758	1305915	Armc10
497916	1560728	Mief2
303067	1359513	Thg1l
78961	621226	Golph3
298771	1310143	Prepl
290946	1309729	Fastkd3
292811	1311730	Cep89
296130	1304904	Gpat2
303554	69195	Nbr1
29884	70984	Bok
360627	1549751	Fkbp10
100362101	2318781	LOC100362101
24294	2454	Cyp11b2
362058	1559958	Miga1
362383	1311377	Rpia
317673	631434	Bbc3
64639	620103	Bad
24224	2199	Bcl2
170929	620621	Bcl2a1
60434	620717	Bcl2l2
25402	2275	Casp3
308405	1309825	Dmpk
