feature_ID,cluster,ome,tissue,feature_raw,feature,female_1w_before,female_2w_before,female_4w_before,female_8w_before,male_1w_before,male_2w_before,male_4w_before,male_8w_before,female_1w_after,female_2w_after,female_4w_after,female_8w_after,male_1w_after,male_2w_after,male_4w_after,male_8w_after,gene_symbol
ENSRNOG00000007102,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007102,TRNSCRPT;ADRNL;ENSRNOG00000007102,-3.26737132350936,-3.70330702881994,-2.61412232006608,-4.01859163042883,4.19818346789838,1.09958256513296,0.205368981303396,2.36703388350814,-3.44758418278005,-1.70356931889876,0.140517964650557,-2.02870690518995,0.952845767349132,0.223412801174799,-0.401530737382387,2.08108644984201,Acss1
ENSRNOG00000007235,1,TRNSCRPT,SKM-GN,TRNSCRPT;SKMGN;ENSRNOG00000007235,TRNSCRPT;SKM-GN;ENSRNOG00000007235,1.33809944506701,0.880769922475997,2.67253000706017,3.01791834962135,4.29510996155527,2.72482575744356,4.1296390295863,5.21855668609768,1.14866788582271,0.380065024897602,0.50080709501175,-0.0408325602424081,2.97549673826385,1.85248477265869,2.74449677030835,3.36974330315791,Atp5mc1
ENSRNOG00000007235,1,TRNSCRPT,SKM-VL,TRNSCRPT;SKMVL;ENSRNOG00000007235,TRNSCRPT;SKM-VL;ENSRNOG00000007235,1.71290034451521,1.77198370112523,4.38606960660367,5.43435186624993,1.85375663454064,1.40690388422932,2.24138972103224,2.30215847121763,0.473551611188511,0.206731671853232,1.21076553671001,1.50042681584136,3.5300966563519,2.02251001315091,2.12417034028907,1.68128446482249,Atp5mc1
ENSRNOG00000007316,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000007316,TRNSCRPT;BAT;ENSRNOG00000007316,-0.509957840304084,-0.928097191437973,-0.137125017030905,-2.04601259946072,-0.338978387118282,-0.339329290623739,-1.53097116407806,-5.42022813299954,-0.982614546860917,-0.874168792065064,-0.0543969627314651,-0.811577563945959,-0.000839998871257867,0.20682286055941,0.728700972776258,-0.401901075743383,Idh3b
ENSRNOG00000007316,1,TRNSCRPT,SKM-VL,TRNSCRPT;SKMVL;ENSRNOG00000007316,TRNSCRPT;SKM-VL;ENSRNOG00000007316,1.15721953100951,1.07459501521485,3.61378261269319,3.74724071933279,1.24048404434894,1.1210289418669,1.93005032557708,1.32360380466507,-0.330840535109709,-0.734210412220255,0.328433201013434,0.129877092514594,2.21805393685504,1.47241683197245,1.59783957196872,-0.178478603947257,Idh3b
ENSRNOG00000007316,4,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007316,TRNSCRPT;ADRNL;ENSRNOG00000007316,-2.96210531608894,-3.74703994132355,-2.91588941345595,-3.35963686130853,4.38099947756152,0.742523952023672,0.20380171956171,0.727487040691581,-3.47155986281168,-2.15522740289193,-1.07732200941577,-0.944213360438797,-1.9109979963672,-3.25778652220824,-2.97658494607026,-2.29766891514297,Idh3b
ENSRNOG00000007407,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007407,TRNSCRPT;ADRNL;ENSRNOG00000007407,-1.98279602236587,-2.82808174429971,-2.05222594096044,-2.53261895104617,3.41430911293524,1.40135989583829,0.603578831164726,0.360227918688496,-1.15032766711216,-0.805031363913126,-0.0104786818386556,-0.189662747707574,-0.860265560366337,0.129274376422137,-0.327485734255195,-1.40042571922086,Ndufa12
ENSRNOG00000007407,1,TRNSCRPT,SKM-VL,TRNSCRPT;SKMVL;ENSRNOG00000007407,TRNSCRPT;SKM-VL;ENSRNOG00000007407,2.38339307268028,2.68096888773543,4.80506209681156,4.83471472825725,1.78136016541206,1.4405393508357,2.02050514857066,2.00698731392753,0.597834989636243,0.360029820645862,0.819001394886835,0.456367516377901,3.24620288135916,2.05053873567773,1.6886203103081,1.03282545239442,Ndufa12
ENSRNOG00000007407,3,TRNSCRPT,BAT,TRNSCRPT;BAT;ENSRNOG00000007407,TRNSCRPT;BAT;ENSRNOG00000007407,-0.653874530453003,-0.620828160542155,0.209053107686747,-1.39059244873236,-0.662586775309558,0.00960599695199029,-1.25035786841495,-6.32781142126939,-1.29721031431704,-0.471712996466408,0.390912991736771,0.0637116557260565,-0.537513393419357,0.225058505063809,-0.194190936990793,-2.1996956307263,Ndufa12
ENSRNOG00000007506,2,TRNSCRPT,ADRNL,TRNSCRPT;ADRNL;ENSRNOG00000007506,TRNSCRPT;ADRNL;ENSRNOG00000007506,0.681069015335471,-2.70441042207927,-1.19950434140153,-2.69519814158791,3.06512058035811,0.380824184572081,0.425161256620229,-1.10083262093687,1.45352400255381,-1.35878752629659,-0.0988233114420766,-1.3125883355814,-0.661140165796658,-1.20585585707039,-0.462723946376899,-3.11840898658331,Ndufaf4
